,107.95454545454545
baby,62.5
heart,44.31818181818182
know,43.18181818181818
got,38.63636363636363
mine,36.36363636363637
want,30.681818181818183
doll,30.681818181818183
ain't,25.0
like,25.0
kiss,23.863636363636363
old,23.863636363636363
never,22.727272727272727
call,22.727272727272727
walk,22.727272727272727
girl,20.454545454545457
don't,19.318181818181817
lights,18.181818181818183
wind,18.181818181818183
good,18.181818181818183
little,18.181818181818183
find,18.181818181818183
time,18.181818181818183
girls,17.045454545454543
said,17.045454545454543
blue,15.909090909090908
rock,15.909090909090908
real,15.909090909090908
island,15.909090909090908
train,15.909090909090908
always,14.772727272727273
fun,14.772727272727273
road,14.772727272727273
dooby,14.772727272727273
high,13.636363636363635
gonna,13.636363636363635
arms,13.636363636363635
right,13.636363636363635
fashioned,13.636363636363635
care,12.5
keep,12.5
mama,12.5
forever,12.5
corner,12.5
around,12.5
born,12.5
lips,12.5
singin',11.363636363636363
one,11.363636363636363
shoes,11.363636363636363
see,11.363636363636363
nothin',11.363636363636363
lonely,11.363636363636363
touch,11.363636363636363
home,11.363636363636363
gone,11.363636363636363
live,10.227272727272728
town,10.227272727272728
fool,10.227272727272728
found,10.227272727272728
dog,10.227272727272728
often,10.227272727272728
away,10.227272727272728
feeling,10.227272727272728
left,10.227272727272728
lost,10.227272727272728
way,10.227272727272728
together,10.227272727272728
sun,9.090909090909092
alone,9.090909090909092
change,9.090909090909092
door,9.090909090909092
meet,9.090909090909092
different,9.090909090909092
leave,9.090909090909092
may,9.090909090909092
name,9.090909090909092
low,9.090909090909092
eyes,9.090909090909092
mind,9.090909090909092
take,9.090909090909092
suede,9.090909090909092
dum,9.090909090909092
speed,9.090909090909092
dreams,9.090909090909092
night,9.090909090909092
felt,9.090909090909092
stay,9.090909090909092
heaven,7.954545454545454
magic,7.954545454545454
body,7.954545454545454
next,7.954545454545454
started,7.954545454545454
ya,7.954545454545454
day,7.954545454545454
long,7.954545454545454
worlds,7.954545454545454
store,7.954545454545454
part,7.954545454545454
friend,7.954545454545454
cry,7.954545454545454
tender,7.954545454545454
behind,7.954545454545454
kin,7.954545454545454
back,7.954545454545454
wayward,7.954545454545454
shine,7.954545454545454
wanna,7.954545454545454
since,6.8181818181818175
go,6.8181818181818175
tear,6.8181818181818175
ever,6.8181818181818175
wait,6.8181818181818175
rabbit,6.8181818181818175
ride,6.8181818181818175
lovin',6.8181818181818175
didn't,6.8181818181818175
maybe,6.8181818181818175
won't,6.8181818181818175
might,6.8181818181818175
thrill,6.8181818181818175
went,6.8181818181818175
mean,6.8181818181818175
restless,6.8181818181818175
yeah,6.8181818181818175
blues,6.8181818181818175
darling,6.8181818181818175
lookin',6.8181818181818175
feel,6.8181818181818175
tomorrow,6.8181818181818175
caught,6.8181818181818175
stars,6.8181818181818175
classed,6.8181818181818175
need,6.8181818181818175
lie,6.8181818181818175
dream,6.8181818181818175
bright,6.8181818181818175
cruel,6.8181818181818175
can't,6.8181818181818175
much,6.8181818181818175
hand,6.8181818181818175
anybody,6.8181818181818175
lead,6.8181818181818175
anything,6.8181818181818175
head,6.8181818181818175
they're,6.8181818181818175
treasure,6.8181818181818175
hound,6.8181818181818175
forget,5.681818181818182
sittin',5.681818181818182
far,5.681818181818182
die,5.681818181818182
street,5.681818181818182
tell,5.681818181818182
give,5.681818181818182
get,5.681818181818182
goodbye,5.681818181818182
sixteen,5.681818181818182
reason,5.681818181818182
think,5.681818181818182
station,5.681818181818182
believe,5.681818181818182
say,5.681818181818182
saw,5.681818181818182
doo,5.681818181818182
face,5.681818181818182
gotta,5.681818181818182
come,5.681818181818182
tons,5.681818181818182
near,5.681818181818182
almost,5.681818181818182
rain,5.681818181818182
she'll,5.681818181818182
yes,5.681818181818182
roses,5.681818181818182
apart,5.681818181818182
moon,5.681818181818182
everything,5.681818181818182
da,5.681818181818182
step,5.681818181818182
hear,5.681818181818182
what's,5.681818181818182
fell,5.681818181818182
chain,4.545454545454546
company,4.545454545454546
woman,4.545454545454546
dig,4.545454545454546
guy,4.545454545454546
slow,4.545454545454546
great,4.545454545454546
bop,4.545454545454546
soldier,4.545454545454546
love,4.545454545454546
sweater,4.545454545454546
must,4.545454545454546
room,4.545454545454546
soul,4.545454545454546
cat,4.545454545454546
crazy,4.545454545454546
end,4.545454545454546
hot,4.545454545454546
he's,4.545454545454546
really,4.545454545454546
needin',4.545454545454546
turn,4.545454545454546
don'cha,4.545454545454546
loves,4.545454545454546
sure,4.545454545454546
knew,4.545454545454546
walking,4.545454545454546
show,4.545454545454546
di,4.545454545454546
beat,4.545454545454546
stop,4.545454545454546
uhoh,4.545454545454546
morning,4.545454545454546
swingin'est,4.545454545454546
iron,4.545454545454546
debt,4.545454545454546
pray,4.545454545454546
life,4.545454545454546
deeper,4.545454545454546
teasin',4.545454545454546
things,4.545454545454546
older,4.545454545454546
thought,4.545454545454546
comes,4.545454545454546
load,4.545454545454546
money,4.545454545454546
mighty,4.545454545454546
dear,4.545454545454546
whattaya,4.545454545454546
broken,4.545454545454546
pretender,4.545454545454546
letter,4.545454545454546
owe,4.545454545454546
fast,4.545454545454546
start,4.545454545454546
happy,4.545454545454546
prayer,4.545454545454546
nice,4.545454545454546
longer,4.545454545454546
pay,3.4090909090909087
toll,3.4090909090909087
new,3.4090909090909087
entwine,3.4090909090909087
met,3.4090909090909087
fulfill,3.4090909090909087
boy,3.4090909090909087
makes,3.4090909090909087
shoobydoowah,3.4090909090909087
would,3.4090909090909087
two,3.4090909090909087
warm,3.4090909090909087
hold,3.4090909090909087
keeping,3.4090909090909087
beautiful,3.4090909090909087
comin',3.4090909090909087
gate,3.4090909090909087
watch,3.4090909090909087
that's,3.4090909090909087
cold,3.4090909090909087
still,3.4090909090909087
glen,3.4090909090909087
stopped,3.4090909090909087
side,3.4090909090909087
everyone,3.4090909090909087
lovers,3.4090909090909087
nest,3.4090909090909087
red,3.4090909090909087
you're,3.4090909090909087
forgive,3.4090909090909087
free,3.4090909090909087
darlin',3.4090909090909087
first,3.4090909090909087
done,3.4090909090909087
doesn't,3.4090909090909087
big,3.4090909090909087
white,3.4090909090909087
here's,3.4090909090909087
light,3.4090909090909087
glow,3.4090909090909087
talk,3.4090909090909087
came,3.4090909090909087
gold,3.4090909090909087
fear,3.4090909090909087
lickin',3.4090909090909087
double,3.4090909090909087
close,3.4090909090909087
smiling,3.4090909090909087
sorrow,3.4090909090909087
couldn't,3.4090909090909087
three,3.4090909090909087
secret,3.4090909090909087
understand,3.4090909090909087
tide,3.4090909090909087
look,3.4090909090909087
blood,3.4090909090909087
make,3.4090909090909087
belong,3.4090909090909087
bale,3.4090909090909087
well,3.4090909090909087
wooooee,3.4090909090909087
livestock,3.4090909090909087
hay,3.4090909090909087
matters,3.4090909090909087
world,3.4090909090909087
lady,3.4090909090909087
cryin',3.4090909090909087
divine,3.4090909090909087
yearns,3.4090909090909087
wrong,3.4090909090909087
surrender,3.4090909090909087
stare,3.4090909090909087
somehow,3.4090909090909087
line,3.4090909090909087
true,3.4090909090909087
lover's,3.4090909090909087
us,3.4090909090909087
pig,3.4090909090909087
dawn,3.4090909090909087
wander,3.4090909090909087
tight,3.4090909090909087
lane,3.4090909090909087
walked,3.4090909090909087
moonlight,3.4090909090909087
fact,3.4090909090909087
people,2.272727272727273
known,2.272727272727273
hurry,2.272727272727273
up',2.272727272727273
worth,2.272727272727273
sent,2.272727272727273
fly,2.272727272727273
garden,2.272727272727273
learned,2.272727272727273
sloppy,2.272727272727273
fall,2.272727272727273
fireplace,2.272727272727273
someday,2.272727272727273
mineymo,2.272727272727273
teardrops,2.272727272727273
bopper,2.272727272727273
melody,2.272727272727273
stood,2.272727272727273
told,2.272727272727273
cozy,2.272727272727273
learn,2.272727272727273
let,2.272727272727273
ahead,2.272727272727273
reeling,2.272727272727273
wig,2.272727272727273
suddenly,2.272727272727273
standing,2.272727272727273
eye,2.272727272727273
lose,2.272727272727273
pearl,2.272727272727273
clappin',2.272727272727273
choochoowah,2.272727272727273
plinkin',2.272727272727273
stronger,2.272727272727273
conceal,2.272727272727273
cuddle,2.272727272727273
hearted,2.272727272727273
write,2.272727272727273
meenie,2.272727272727273
tried,2.272727272727273
farm,2.272727272727273
lotta,2.272727272727273
bedoo,2.272727272727273
lot,2.272727272727273
mad,2.272727272727273
men,2.272727272727273
bloom,2.272727272727273
remember,2.272727272727273
crowded,2.272727272727273
tall,2.272727272727273
order,2.272727272727273
serving,2.272727272727273
longs,2.272727272727273
willow,2.272727272727273
lamp,2.272727272727273
orange,2.272727272727273
jukebox,2.272727272727273
haven't,2.272727272727273
return,2.272727272727273
nestled,2.272727272727273
we'll,2.272727272727273
feelin,2.272727272727273
break,2.272727272727273
answer,2.272727272727273
towering,2.272727272727273
twilight,2.272727272727273
gloom,2.272727272727273
shaking,2.272727272727273
house,2.272727272727273
we'd,2.272727272727273
calling,2.272727272727273
uhuh,2.272727272727273
flavor,2.272727272727273
open,2.272727272727273
jump,2.272727272727273
hill,2.272727272727273
they'll,2.272727272727273
everythin's,2.272727272727273
cause,2.272727272727273
bald,2.272727272727273
starts,2.272727272727273
could,2.272727272727273
days,2.272727272727273
place,2.272727272727273
saving,2.272727272727273
feet,2.272727272727273
untrue,2.272727272727273
comin,2.272727272727273
miss,2.272727272727273
heads,2.272727272727273
forevermore,2.272727272727273
dwell,2.272727272727273
scooby,2.272727272727273
fooled,2.272727272727273
binds,2.272727272727273
outta,2.272727272727273
mind's,2.272727272727273
alley,2.272727272727273
seem,2.272727272727273
you'd'n't,2.272727272727273
built,2.272727272727273
wastin',2.272727272727273
play,2.272727272727273
pain,2.272727272727273
chart,2.272727272727273
dancin',2.272727272727273
windows,2.272727272727273
you'll,2.272727272727273
crywhywhywhy,2.272727272727273
bring,2.272727272727273
tears,2.272727272727273
pretty,2.272727272727273
folks,2.272727272727273
hope,2.272727272727273
wooh,2.272727272727273
wearing,2.272727272727273
words,2.272727272727273
sleeve,2.272727272727273
shy,2.272727272727273
dungaree,2.272727272727273
jumped,2.272727272727273
please,2.272727272727273
across,2.272727272727273
wide,2.272727272727273
ends,2.272727272727273
vows,2.272727272727273
lover,2.272727272727273
boss,2.272727272727273
add,2.272727272727273
wear,2.272727272727273
news,2.272727272727273
last,2.272727272727273
country,2.272727272727273
passing,2.272727272727273
ease,2.272727272727273
duty,2.272727272727273
among,2.272727272727273
jeans,2.272727272727273
gypsy,2.272727272727273
simply,2.272727272727273
better,2.272727272727273
treat,2.272727272727273
gay,2.272727272727273
kisses,2.272727272727273
sound,2.272727272727273
played,2.272727272727273
sleeping,2.272727272727273
runnin',2.272727272727273
frantic,2.272727272727273
ready,2.272727272727273
cross,2.272727272727273
hurrying,2.272727272727273
gets,2.272727272727273
grows,2.272727272727273
drink,2.272727272727273
driver,2.272727272727273
paperclips,2.272727272727273
beside,2.272727272727273
nothin,2.272727272727273
cease,2.272727272727273
thinking,2.272727272727273
silver,2.272727272727273
verse,2.272727272727273
easy,2.272727272727273
gave,2.272727272727273
read,2.272727272727273
bit,2.272727272727273
fortune,2.272727272727273
remind,2.272727272727273
steps,2.272727272727273
twelve,2.272727272727273
goldilocks,2.272727272727273
school,2.272727272727273
crown,2.272727272727273
lucky,2.272727272727273
an',2.272727272727273
clown,2.272727272727273
sight,2.272727272727273
ice,2.272727272727273
laughing,2.272727272727273
nowhere,2.272727272727273
although,2.272727272727273
paste,2.272727272727273
stand,2.272727272727273
socks,2.272727272727273
lies,2.272727272727273
promise,2.272727272727273
constantly,2.272727272727273
cats,2.272727272727273
we're,2.272727272727273
bite,2.272727272727273
squeeze,2.272727272727273
made,2.272727272727273
wish,2.272727272727273
creeping,2.272727272727273
why'd,2.272727272727273
fill,2.272727272727273
floor,2.272727272727273
transfusion,2.272727272727273
tie,2.272727272727273
poor,2.272727272727273
picture,2.272727272727273
draw,2.272727272727273
repeat,2.272727272727273
o'clock,2.272727272727273
let's,2.272727272727273
chance,2.272727272727273
rolling,2.272727272727273
diamonds,2.272727272727273
died,2.272727272727273
she's,2.272727272727273
songs,2.272727272727273
dance,1.1363636363636365
caused,1.1363636363636365
forbidden,1.1363636363636365
claret,1.1363636363636365
skin,1.1363636363636365
pardon,1.1363636363636365
outa,1.1363636363636365
folk's,1.1363636363636365
watchin',1.1363636363636365
young,1.1363636363636365
crimson,1.1363636363636365
carelessly,1.1363636363636365
sitting,1.1363636363636365
bluesinthenight,1.1363636363636365
shoot,1.1363636363636365
every,1.1363636363636365
garder,1.1363636363636365
ticket,1.1363636363636365
cool,1.1363636363636365
wondrously,1.1363636363636365
workin',1.1363636363636365
they've,1.1363636363636365
gum,1.1363636363636365
try,1.1363636363636365
warmth,1.1363636363636365
wending,1.1363636363636365
small,1.1363636363636365
repenting,1.1363636363636365
spent,1.1363636363636365
round,1.1363636363636365
louie,1.1363636363636365
i'll,1.1363636363636365
pretend,1.1363636363636365
bicycle,1.1363636363636365
nigh,1.1363636363636365
loved,1.1363636363636365
sign,1.1363636363636365
past,1.1363636363636365
fold,1.1363636363636365
second,1.1363636363636365
pour,1.1363636363636365
soldiers,1.1363636363636365
ev'ning,1.1363636363636365
hmhmhmhm,1.1363636363636365
abc,1.1363636363636365
appear,1.1363636363636365
clock,1.1363636363636365
mollie,1.1363636363636365
drifting,1.1363636363636365
wingin'est,1.1363636363636365
waiting,1.1363636363636365
o,1.1363636363636365
goes,1.1363636363636365
underneath,1.1363636363636365
dutch*,1.1363636363636365
filled,1.1363636363636365
burn,1.1363636363636365
guardian,1.1363636363636365
rememmber,1.1363636363636365
straw,1.1363636363636365
along,1.1363636363636365
strong,1.1363636363636365
sadness,1.1363636363636365
box,1.1363636363636365
kids,1.1363636363636365
wandering,1.1363636363636365
smoky,1.1363636363636365
glows,1.1363636363636365
wherever,1.1363636363636365
hospitality's,1.1363636363636365
women,1.1363636363636365
i'd,1.1363636363636365
weren't,1.1363636363636365
